id,address
1019521,4974 FUNDY ST
1019535,2770 S ELMIRA ST UNIT 14
1019539,9700 E ILIFF AVE APT I97
1019547,9995 E HARVARD AVE APT 295
1019551,9995 E HARVARD AVE APT 291
1019553,9995 E HARVARD AVE APT 289
1019560,5995 W HAMPDEN AVE UNIT C17
1019574,5995 W HAMPDEN AVE UNIT A2
1019576,5995 W HAMPDEN AVE UNIT A4
1019578,5995 W HAMPDEN AVE UNIT A6
1019579,5995 W HAMPDEN AVE UNIT A7
1019597,10150 E VIRGINIA AVE UNIT 7-301
1019610,1585 S TEJON ST
1019619,1660 S ZUNI ST
1019633,645 S IRVING ST
1019641,3131 W CENTER AVE
1019658,9725 E HARVARD AVE APT 417
1019659,9725 E HARVARD AVE APT 418
1019660,9725 E HARVARD AVE APT 419
1019665,9725 E HARVARD AVE APT 424
1026706,555 S ALCOTT ST
1026711,465 S ALCOTT ST
1026712,600 S CANOSA CT
1026722,654 S BRYANT ST
1026745,2673 S PEARL ST
1026758,910 INCA ST
1026775,1050 KALAMATH ST
1026777,1318 PONTIAC ST
1026780,1125 OLIVE ST
1026792,7300 E 12TH AVE
1026798,7232 E 12TH AVE
1026814,3871 N HARRISON ST
1026821,3745 N MONROE ST
1026831,3534 BRUCE RANDOLPH AVE
1026832,3500 BRUCE RANDOLPH AVE
1026841,1829 W 33RD AVE
1026843,3451 QUIVAS ST
1026844,2036 W 33RD AVE
1026864,4561 EUREKA CT
1026865,15103 KELLY PL
1026866,4483 ELKHART ST
1026867,15063 E 43RD AVE
1026871,15062 KELLY PL
1026875,15075 MITCHELL PL
1026878,15081 MITCHELL PL
1026896,2308 GRAPE ST
1026927,1530 S QUEBEC WAY APT 28
1026939,2944 BELLAIRE ST
1026959,4648 PENNSYLVANIA ST
1026965,4676 SHERMAN ST
1026969,4643 LOGAN ST
1026970,4656 SHERMAN ST
1026974,4658 PENNSYLVANIA ST
1026980,4670 PENNSYLVANIA ST
1026995,745 S CLINTON ST APT 10A
1027003,610 S CLINTON ST APT 7A
1027005,610 S CLINTON ST APT 9A
1027027,7902 E HAMPDEN CIR
1027031,7931 E HAMPDEN CIR
1027033,1239 N LAFAYETTE ST
1027041,1450 N LAFAYETTE ST APT 4
1027046,1450 N LAFAYETTE ST APT 10
1027047,4492 CORNISH WAY
1027076,5123 SABLE ST
1027088,5162 DILLON ST
1027113,5552 CROWN BLVD
1027117,5553 CROWN BLVD
1027118,5560 CROWN BLVD
1027128,1699 S TRENTON ST UNIT 84
1027135,1699 S TRENTON ST UNIT 148
1027143,2975 IVY ST
1027155,3290 KEARNEY ST
1027159,3230 KRAMERIA ST
1027162,3240 KRAMERIA ST
1027163,3210 KRAMERIA ST
1027227,5514 SCRANTON ST
1027236,12263 OLMSTED DR
1027237,12223 OLMSTED DR
1027260,1600 S JULIAN WAY
1027262,1610 S JULIAN WAY
1027263,1620 S JULIAN WAY
1027264,3300 W IOWA AVE
1027273,2929 N GLENCOE ST
1027279,2925 HOLLY ST
1027282,5349 E MARTIN LUTHER KING JR BLVD
1027291,5350 E THRILL PL
1027314,3220 VALLEJO ST
1027319,3256 WYANDOT ST
1027333,4935 SCRANTON CT
1027343,5202 SCRANTON ST
1027357,4978 GRANBY ST
1027362,4646 FREEPORT WAY
1027363,4667 FREEPORT WAY
1027375,4512 CLAYTON ST
1027376,4631 THOMPSON CT
1027380,4760 ELIZABETH ST
1027386,4736 CLAYTON ST
1027389,4740 CLAYTON ST
1027395,1241 W CUSTER PL
1027412,1382 W NEVADA PL
1027413,1307 W NEVADA PL
1027427,1442 ADAMS ST
1027429,1321 SAINT PAUL ST
1027434,1357 STEELE ST
1027450,1620 SPRUCE ST
1027452,1549 TAMARAC ST
1027454,1283 TRENTON ST
1027456,1450 SYRACUSE ST
1027469,4464 DUMAS CT
1027474,4474 EAGLE ST
1027488,5083 HELENA CT
1027490,15647 E 51ST DR
1027492,4889 JOPLIN CT
1027538,3301 NEWTON ST
1027543,3316 NEWTON ST
1027547,4554 ENSENADA ST
1027554,18942 E 46TH AVE
1027557,19253 E CHAFFEE PL
1027564,4681 BISCAY ST
1027572,4051 W WALSH PL
